what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1339846635251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846645677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846652720
error,log,,,"Unhandled event loop exception",1339846652986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846653660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846765871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846768673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846778011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846780331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846780964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846781220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846789505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846789752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846791079
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339846792865
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339846797616
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339846799577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846801122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846805046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846808244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846810178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846817476
error,log,,,"Unhandled event loop exception",1339846817736
error,log,,,"Unhandled event loop exception",1339846817743
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1339846830451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846831294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339846831304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846832795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846848072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339846848081
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339846851381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846855115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846859042
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1339846859111
error,log,,,"Unhandled event loop exception",1339846859387
error,log,,,"Unhandled event loop exception",1339846859397
error,log,,,"Unhandled event loop exception",1339846859525
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1339846864764
error,log,,,"Unhandled event loop exception",1339846864957
error,log,,,"Unhandled event loop exception",1339846864966
error,log,,,"Unhandled event loop exception",1339846864971
error,log,,,"Unhandled event loop exception",1339846865037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1339846868169
error,log,,,"Unhandled event loop exception",1339846868369
error,log,,,"Unhandled event loop exception",1339846868438
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.sse.core"".",1339846870051
error,log,,,"Unhandled event loop exception",1339846870247
error,log,,,"Unhandled event loop exception",1339846870314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846875342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846880952
error,log,,,"Unhandled event loop exception",1339846881355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846883234
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339846888718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846892193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846894099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846918669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846925448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339846927684
error,log,,,"Unhandled event loop exception",1339846927951
error,log,,,"Unhandled event loop exception",1339846927961
error,log,,,"Unhandled event loop exception",1339846927968
error,log,,,"Unhandled event loop exception",1339846928129
error,log,,,"Unhandled event loop exception",1339846943323
error,log,,,"Unhandled event loop exception",1339846943329
error,log,,,"Unhandled event loop exception",1339846943336
error,log,,,"Unhandled event loop exception",1339846943416
error,log,,,"Unhandled event loop exception",1339846955735
error,log,,,"Unhandled event loop exception",1339846955751
error,log,,,"Unhandled event loop exception",1339846955759
error,log,,,"Unhandled event loop exception",1339846955888
