what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339781611363
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1339781611742
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1339781612427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339781612652
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1339781612858
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1339781613100
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781614513
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781616506
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781616556
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781618042
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781618043
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339781625819
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781628598
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781628653
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1339781906898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781909557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781910781
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1339781911186
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1339781911758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781912902
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339781913059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781953002
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339781974137
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781975770
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781975828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782026216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782028606
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339782029649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782029798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782032908
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782035178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782039408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782044349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782045416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782046743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339782062203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782072315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782073199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782074331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782080245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782086113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782093169
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782093188
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339782095788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782100612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782120053
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782120074
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782122360
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782133948
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782134327
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782139029
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782144404
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782150169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782150272
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782185850
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782189036
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782193113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782198309
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782202232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782211398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782213693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782215928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782216080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782217019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782217162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782218575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782225087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782231424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782232984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782234694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782234961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782236383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782237486
error,log,,,"parseview3.xml: Failed to convert @drawable/hgrapp into a drawable",1339782243120
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782243571
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782243657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782261635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782274637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782274680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782276067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782499232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782500226
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782500651
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782500651
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782501693
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782507910
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782509699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782512853
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782521749
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782525385
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782534341
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782537540
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782537657
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339782543611
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782554538
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782558183
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782558256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1339782563104
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1339782564250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339782564468
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782565522
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782566484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1339782570845
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1339782571810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339782571999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339782572926
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339782576827
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339782578110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782579994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339782582093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339782582104
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782583987
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782585166
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339782586380
