what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342258920593
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342258920640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342258922609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342258934296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342258938421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342258940015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342258940156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342258941015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342258947953
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342258951046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342258952078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342258965984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342258989718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342258989843
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342258999109
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342258999234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342259002343
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342259003218
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342259003312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259011140
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342259012406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259016046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259029796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259045046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342259050390
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1342259055562
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1342259056015
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1342259056062
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342259057125
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1342259057890
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342259062125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259065093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259067390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259079484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259083578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259084781
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342259086125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342259086265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1342259090718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342259096734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1342259102984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342259104125
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1342259104625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342259105046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259105453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259112734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259113234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259123531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259139171
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1342259142671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259145046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259149406
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342259151343
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1342259177156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259177906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259183156
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1342259184671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259186890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259187781
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1342259188171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259189593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259191671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259194437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259196218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259198125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259201484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259202750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259203765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342259204500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342259205296
