what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unhandled event loop exception",1340435010725
error,log,,,"Unhandled event loop exception",1340435011239
error,log,,,"Unhandled event loop exception",1340435011252
error,log,,,"Unhandled event loop exception",1340435011275
error,log,,,"Unhandled event loop exception",1340435011323
error,log,,,"Unhandled event loop exception",1340435011365
error,log,,,"Unhandled event loop exception",1340435011380
error,log,,,"Unhandled event loop exception",1340435011393
error,log,,,"Unhandled event loop exception",1340435011777
error,log,,,"Unhandled event loop exception",1340435011826
error,log,,,"Unhandled event loop exception",1340435011884
error,log,,,"Unhandled event loop exception",1340435011945
error,log,,,"Unhandled event loop exception",1340435011950
error,log,,,"Unhandled event loop exception",1340435011966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340435027948
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340435029026
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435029436
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435029506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340435031181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340435032970
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340435095572
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435095793
error,log,,,"Unhandled event loop exception",1340435095858
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340435101849
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435102237
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435102335
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435125199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340435127311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340435128613
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435128788
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435128788
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1340435129767
