what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823760210
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339823783755
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339823784145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339823784327
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339823789198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339823789359
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339823792492
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339823794643
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339823794763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823800742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823803199
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339823833366
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339823833623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823835014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823955577
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339823958850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339823966172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823967822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823968750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823971885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823973208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823973828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823976080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339823977413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339824019489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339824020349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339824036761
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339824046763
