what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781042171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781044269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781045810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339781045824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781047071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781053013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781053052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781054195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781058823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781081154
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339781097459
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339781099528
error,log,,,"Error while loading editor",1339781101816
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781101830
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781101893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339781117975
error,log,,,"Unhandled event loop exception",1339781139906
error,log,,,"Unhandled event loop exception",1339781141917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781147853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781148823
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339781149027
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781149027
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339781150203
error,log,,,"Error while loading editor",1339781150408
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781150420
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781150489
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339781158522
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339781159981
error,log,,,"Unhandled event loop exception",1339781164164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781168066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781169749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781171084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781172469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781176349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339781207716
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339781210106
