what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814305698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814325011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814326453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814373160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814374940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1339814384902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1339814393065
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339814402914
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339814403661
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1339814404672
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1339814405803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339814471833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814487355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814953761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339814954860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339815027647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339815031592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339815031918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339815033300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339815034517
activated,view,org.eclipse.ui.console,,"org.eclipse.ui.console.ConsoleView",1339815035451
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339815047165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339815052049
